paragraph,intent
apakah ada kelas karyawan?,kelas_karyawan
Karyawan gwe boleh kuliah gk,kelas_karyawan
Bagaimana perkuliahan untuk kelas karyawan di Unisbank?,kelas_karyawan
Berapa biaya bulanan untuk kelas karyawan?,kelas_karyawan
Jadwal untuk kelas karyawan hari apa dan jam berapa?,kelas_karyawan
Bagaimana sistem kuliah untuk kelas regule?apakah bisa menentukan jam Kelas?,kelas_karyawan
Informasi mengenai kelas non-reguler Unisbank tanya ke bagian mana?,kelas_karyawan
Berapakah biaya yang harus dikeluarkan untuk kelas karyawan di unisbank?,kelas_karyawan
"Bagaimana pendaftaran untuk mahasiswa kelas karyawan, apakah sama dengan pendaftaran mahasiswa kelas pagi/reguler atau ada persyaratan khusus?",kelas_karyawan
Apakah saya bisa mengambil jurusan s2 di unisbank,kelas_karyawan
Karyawan gwe boleh kuliah gk,kelas_karyawan
Apakah di Unisbank terdapat kelas karyawan dan program studi apa saja yang dibuka untuk kelas karyawan?,kelas_karyawan
Saya seorang karyawan dan ingin melanjutkan kuliah saya apakah di unisbank membuka kelas karyawan?,kelas_karyawan
Dimana saya bisa mendapatkan informasi berkaitan dengan Unisbank ?,kelas_karyawan
Kerja sambil kuliah di unisbank,kelas_karyawan
"Terkait dengan adanya kelas karyawan di Unisbank, saya ingin bertanya mengenai waktu dan jadwal untuk perkuliahannya di kelas karyawa n itu seperti apa pak/bu? Untuk harinya dari hari apa sampai hari apa dan dimulainya dari jam berapa sampai jam berapa.",kelas_karyawan
ada kelas karyawan tidak di Unisbank ?,kelas_karyawan
Apa tersedia kelas untuk karyawan di kampus ini?,kelas_karyawan
"Hallo kak, saya ingin bertanya apakah ada klas khusus untuk karyawan ? Dan dimulai jam berapa ya ?",kelas_karyawan
Kelas karyawan di Unisbank,kelas_karyawan
Tersedia irreguler di unisbank?,kelas_karyawan
Dan bagaimana sistem perkuliyahan untuk karyawan ?,kelas_karyawan
Jam berapa proses kuliah berlangsung untuk kelas karyawan?,kelas_karyawan
Mohon informasi untuk kelas karyawan,kelas_karyawan
Apa ada kelas karyawan di Unisbank?,kelas_karyawan
Apakah di unisbank ada kelas untuk karyawan?,kelas_karyawan
Apakah unisbank tersedia kelas non-regular?,kelas_karyawan
Apakah di sini ada perkuliahan untuk non reguler? Jika ada prodi apa saja? Dan biasanya perkuliahan diadakan di hari apa?,kelas_karyawan
Unisbank ada kelas khusus pegawai?,kelas_karyawan
Di UNISBANK untuk kelas karyawan?,kelas_karyawan
Bagaimana cara regristrasi onlinya,registrasi_online
Cara registrasi online unisbank,registrasi_online
"Syarat-syarat apa saja yg di butuhkan ketika kita mendaftar online dan bukan lagi offline, apakah ada perbeadaan?",registrasi_online
Pendaftaran online sudah dibuka?,registrasi_online
Bagaimana sistematika pendaftaran di Unisbank,registrasi_online
Bagaimana cara registrasi secara online,registrasi_online
Apa keunggulan semua prodi di kampus tsb?,registrasi_online
apakah bisa mengecek status pendaftaran di website resmi ?,registrasi_online
apakah bisa daftar secara online?,registrasi_online
Apa syarat untuk mendaftar online di Unisbank?,registrasi_online
Info registrasi onlinenya dong,registrasi_online
Apa saja syarat pendaftaran online?,registrasi_online
Bagaimana cara registrasi online?,registrasi_online
bagaimanakah caranya supaya saya dapat melakukan daftar dan registrasi online di UNISBANK ?,registrasi_online
Bagaimana cara mendaftar onlinenya? dan kapan tes nya dilakukan?,registrasi_online
dimana saya bisa registrasi online?,registrasi_online
Link buat regist online mn,registrasi_online
Apa link pendaftaran mahasiswa baru di Unisbank?,registrasi_online
Persyaratan apa saja yang diajukan untuk daftar online?,registrasi_online
Persyaratan apa saja yang diperlukan saat daftar dan registrasi,registrasi_online
Kapan kegiatan daftar online dimulai ?,registrasi_online
Informasi pendaftaran online mahasiswa baru Unisbank bertanya ke bagian mana ?,registrasi_online
Bagaimana cara mendaftar di unisbank? Dan apakah harus melakukan registrasi secara manual untuk melakukan konfirmasi jika sudah melakukan registrasi secara online?,registrasi_online
"Bagaimana cara pendaftaran mahasiswa baru dengan cara online, lalu link pendaftarannya dapat diperoleh dimana?",registrasi_online
Tata cara/ alur registrasi dan pembayaran kuliah via online?,registrasi_online
Link buat regist online mn,registrasi_online
Dimana tempat untuk mendapatkan infomasi dan langkah-langkah pendaftaran untuk mahasiswa baru via online?,registrasi_online
Bagaimana cara pendaftaran online untuk PMB unisbank?,registrasi_online
Bagaimana dan dimana saya bisa melakukan pendaftaran atau registrasi Online ?,registrasi_online
bagai mana cara mendaftar online?,registrasi_online
"Untuk informasi pendaftaran dan resgistrasi online di Unisbank, saya dapat mengaksesnya melalui alamat web mana ya pak/bu?",registrasi_online
Cara daftar onlinenya gimana ya ?,registrasi_online
Dokumen dokumen apa saja yang disiapkan untuk mendaftar online di kampus UNISBANK?,registrasi_online
Bagaimana langkah-langkah daftar online yang harus di siapkan hehe,registrasi_online
Pendaftaran dan registrasi online unisbank,registrasi_online
Apakah ada daftar via onlinenya?,registrasi_online
daftar online harus masuk dalam link atau web apa untuk mengisi formulir nya ?,registrasi_online
Sampai kapan tanggal registrasi online untuk PMB di Unisbank?,registrasi_online
Bagaimana cara registrasi online mahasiswa baru ?,registrasi_online
Bagaimana cara mendaftar online di Unisbank?,registrasi_online
Bagaimana cara daftar dan registrasi online di unisbank?,registrasi_online
Apa syarat mendaftar di unisbank untuk yang online?,registrasi_online
Bagaimana cara mendaftar dan registrasi online? Apalah lewat link atau lewat email?,registrasi_online
layanan pendaftaran online unisbank dimana?,registrasi_online
Apa di UNISBANK ada pendaftaran online untuk PMB?,registrasi_online
Untuk biaya perkuliahan di unisbank itu berapa ya?,biaya
"Daftar gratis di uNisbank, 
Biaya pendaftaran, 
Daftar bayar berapa, uang pendaftaran, biaya kuliah unisbank, biaya registrasi, biaya daftar ulang, biaya registrasi matakuliah",biaya
"Untuk kelas yg saya tempuh/untuk jenjang study yg saya akan tempuh, kira"" total biaya yg harus dikeluarkan kisaran brapa?",biaya
biaya pendaftaran dan biaya kuliah di unisbank brp?,biaya
Berapa biaya pendaftaran dan biaya kuliah per semesternya,biaya
Bagaimana kalau biaya pendaftaran dicicil,biaya
Berapa biaya yang harus saya penuhi untuk melakukan perkuliahan?,biaya
Berapa biaya administrasi pemdaftarannya ?,biaya
daftar biaya kuliah di unisbank ada?,biaya
Bisakah saya mendapat informasi tentang biaya pendaftaran di Unisbank?,biaya
Biayanya sampai brp ya,biaya
Maaf berapa biaya pendaftaran dan biaya kuliah nya?,biaya
Berapa besar biaya pendaftaran di unisbank? Nah kalau sudah bayar sebesar itu uang itu buat apa saja? Dan apa reward but kita?,biaya
"Saya ingin mengetahui tentang biaya pendaftaran dan kuliah di UNISBANK, dimanakah saya bisa mendapatkan informasi tersebut ?",biaya
bagaimana sistem pembayaran yang diterapkan di unisbank?,biaya
berapa biaya kuliah di unisbank?,biaya
Brp duit kuliah di unisbank?,biaya
Berapa biaya kuliah di Unisbank?,biaya
"Mohon maaf, saya ingin bertanya. Berapa biaya bulanan untuk program studi teknik informatika?",biaya
Berapa biaya kuliah per semester jurusan akuntansi di Unisbank,biaya
Berapa biaya untuk progdi akuntansi di semester pertama?,biaya
Apakah ada website untuk mengetahui lebih detail mengenai informasi pembayaran biaya kuliah di Unisbank?,biaya
Berapakah biaya pendaftaran di unisbank? Adakah potongan harga jika mendaftar di gelombang tertentu? Bagaimanakan sistem biaya SPPnya? Ataukah satu bulan sekali atau langsung satu semester?,biaya
"Bagaimana cara pembayaran pendaftaran dan pembayaran kuliah di Unisbank, apakah harus dilunasi ketika pendaftaran berlangsung atau diberikan tempo untuk pembayaran?",biaya
Meminta rincian biaya kuliah selama menempuh study,biaya
Brp duit di unisbank,biaya
Berapakah biaya pendaftaran untuk program studi teknik informatika? Dan berapa uang semester yang dikenakan serta pembayarannya dilakukan setiap bulan atau langsung dibayarkan ketika pergantian semester?,biaya
Untuk biaya masuk unisbank kira-kira habis berapa ya? Dan untuk persemester kena UKT berapa?,biaya
"Maaf, untuk informasi biaya pendaftaran saya bisa dapatkan dimana ya ?",biaya
biaya kuliah di unisbank itu brp?,biaya
Maaf pak/bu saya ingin bertanya mengenai biaya pendaftaran dan biaya perkuliahan di Unisbank itu kisaran berapa ya bu/pak?,biaya
biaya pendaftarannya berapa ya ? mahal tidak ?,biaya
Untuk biaya pendaftaran dan kuliah apakah sama untuk setiap program studi atau berbeda? jika berbeda saya ingin mengetahui biaya untuk Program studi X?,biaya
Bagaimana biaya yg diajukan oleh kampus ini ?,biaya
Berapa biaya pendaftaran dan kuliah di Unisbank,biaya
Biaya untuk menempu pendidikan di unisbank,biaya
Berapa biaya dalam 1 semester dan berapa biaya awal yang harus di keluarkan untuk pertama kali masuk ?,biaya
Berapa biaya pendaftaran PMB Unisbank? Dan dibayar paling lambat berapa hari?,biaya
Mohon informasi terkait biaya perkuliahan,biaya
Berapa biaya pendaftaran Unisbank?,biaya
Berapa biaya pendaftaran mahasiswa baru di unisbank? Bagaimana cara membayarnya?,biaya
Berapa Biaya persemseter di unisbank?,biaya
Apakah setiap prodi biaya kuliahnya sama atau tidak? Jika tidak berapa selisihnya?,biaya
Untuk biaya persemester berapa?,biaya
Bisa minta pricelist atau biaya untuk pendaftaran PMB di Unisbank?,biaya
Selamat siang,greeting
Halo,greeting
Hallo,greeting
"Halo, bagian support di mana ya?",greeting
Assalamualaikum,greeting
Sampai jumpa,goodbye
See you later,goodbye
Good bye!,goodbye
Senang bisa bicara denganmu,goodbye
Gitu aja,goodbye
Udah,goodbye
Sudah cukup,goodbye
Ok sudah cukup,goodbye
Terima kasih,thanks
Trim,thanks
Terima kasih!,thanks
TY,thanks
Thank you,thanks
Ok terima kasih,thanks
Ok trims,thanks
Ok trim,thanks
"Terima kasih, sangat membantu",thanks
"Baik, terima kasih",thanks
Trim sudah dibantu,thanks
Makasih ya,thanks
Thanks,thanks
